Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,56.84583139419556,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,57.169984340667725,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,57.50812315940857,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,57.84863519668579,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,58.19436001777649,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,58.4629909992218,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,58.694520235061646,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,58.9752893447876,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,59.27886128425598,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,59.61950421333313,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,59.85136318206787,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,60.15657043457031,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,60.460925340652466,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,60.704105377197266,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,61.07190704345703,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,61.49715709686279,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,61.934606075286865,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,62.189749002456665,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,62.43426299095154,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,62.65782904624939,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,62.972490072250366,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,63.27038908004761,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,63.5030038356781,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,63.78102159500122,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,64.0577654838562,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,64.28265333175659,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,64.52816152572632,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,64.79932165145874,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,65.01697564125061,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,65.29092860221863,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,65.5235424041748,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,65.79345536231995,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,66.08060336112976,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,66.40273642539978,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,66.63978338241577,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,66.90281867980957,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,67.2696704864502,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,67.58408665657043,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,67.95160675048828,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,68.27830982208252,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,68.61239075660706,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,68.87076473236084,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,69.53542256355286,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,69.85257148742676,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,70.76679253578186,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,71.19442772865295,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,71.51350450515747,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,71.8005895614624,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,72.49428868293762,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,73.0445327758789,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,73.28792476654053,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,73.61635851860046,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,73.83662176132202,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,74.13865280151367,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,74.73019742965698,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,74.94621539115906,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,75.20374250411987,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,75.4559633731842,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,75.65999341011047,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,75.93061852455139,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,76.17799830436707,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,76.38374829292297,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,76.63496613502502,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,76.88327622413635,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,77.10930013656616,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,77.35976815223694,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,77.58978843688965,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,77.84373545646667,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,78.09228730201721,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,78.34125924110413,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,78.54363703727722,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,78.79139518737793,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,79.04717707633972,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,79.304771900177,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,79.55692982673645,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,79.81257772445679,[],[],0
